prediction;test_price
26.05;25.47
25.84;25.39
25.64;25.67
25.68;26.55
25.85;27.22
26.4;26.96
27.05;26.6
27.08;26.53
26.74;27.17
26.51;27.06
26.97;27.13
27.04;26.61
27.06;26.97
26.85;27.63
26.93;26.48
27.29;26.24
26.9;26.49
26.6;27.31
26.64;27.41
27.25;26.97
27.63;27.94
27.11;28.61
27.75;28.06
28.43;27.69
28.14;28.2
27.92;28.35
28.15;27.99
28.43;27.7
28.05;27.76
27.91;27.77
27.91;28.09
27.74;27.57
28.08;27.66
27.72;27.71
27.67;28.43
27.76;28.22
28.22;28.3
28.27;28.36
28.38;27.51
28.35;27.36
27.82;28.72
27.46;28.29
28.37;28.59
28.44;28.74
28.74;29.01
28.9;28.23
29.04;28.36
28.47;28.08
28.38;29.17
28.27;30.0
28.97;28.71
29.78;28.38
29.1;27.72
28.59;28.33
28.1;28.57
28.47;25.94
28.8;26.77
27.2;26.76
27.1;26.14
27.09;25.77
26.52;24.65
26.18;23.18
25.27;22.4
24.11;20.76
23.17;20.1
21.91;23.31
20.85;22.4
22.79;20.39
23.01;21.17
21.72;21.59
21.57;23.16
21.86;22.08
23.07;20.11
22.78;20.41
21.28;19.72
20.88;18.64
20.3;20.86
19.47;20.91
20.34;22.1
21.01;22.6
21.86;21.84
22.44;22.7
22.1;21.14
22.43;19.9
21.84;20.38
20.71;19.26
20.45;19.0
19.91;17.59
19.67;18.89
18.35;18.39
19.05;17.22
18.95;18.03
18.24;17.4
18.65;16.34
18.12;18.42
17.54;19.37
18.72;19.22
19.34;19.63
19.6;19.65
20.06;17.74
19.94;18.72
19.01;19.14
19.28;19.01
19.38;19.86
19.7;21.74
20.1;20.53
21.47;20.68
21.23;20.21
20.76;20.02
20.42;20.16
20.13;21.06
20.12;20.88
20.85;20.21
20.85;19.86
20.34;19.42
20.18;19.35
20.0;19.47
19.93;19.64
20.05;19.01
19.76;19.9
19.59;20.09
19.79;21.18
20.0;20.81
21.0;21.53
20.91;20.52
21.38;20.28
21.11;19.75
20.74;19.36
20.36;18.77
19.99;18.42
19.61;18.91
18.99;19.0
19.22;17.92
19.71;18.8
18.93;18.57
19.16;18.25
19.3;18.47
18.95;18.82
18.77;19.73
19.01;18.82
19.95;18.31
19.64;17.89
18.96;18.26
18.67;16.82
18.42;16.57
17.77;17.22
17.52;17.21
17.56;16.61
17.57;16.38
17.29;16.67
17.0;16.4
16.91;15.8
17.01;15.61
16.64;15.66
16.13;15.52
16.11;15.03
15.92;15.87
15.68;15.37
15.98;14.93
16.08;14.85
15.74;14.21
15.52;14.49
15.28;15.0
15.25;14.16
15.48;14.02
15.25;13.8
14.83;14.71
14.33;14.69
15.21;15.43
15.25;15.17
15.67;15.24
15.6;15.78
15.74;16.04
16.03;15.67
16.28;15.45
16.2;16.75
15.8;16.19
16.58;16.41
16.72;16.88
16.51;16.46
16.84;15.81
16.71;16.08
16.29;16.64
16.09;17.89
16.63;17.71
17.62;17.37
17.93;16.93
17.79;17.14
16.86;17.6
16.86;17.29
17.55;16.84
17.54;17.47
17.14;18.16
17.62;18.05
18.31;17.19
18.28;17.24
17.45;17.18
17.33;17.38
17.54;17.94
17.42;17.48
17.88;17.28
17.84;18.6
17.84;19.39
18.91;19.43
19.33;20.24
19.58;20.5
20.39;22.91
20.74;22.43
22.12;22.54
22.44;21.88
22.63;21.53
22.13;20.9
21.44;20.79
20.86;20.73
20.86;21.44
20.85;21.09
21.03;20.85
21.25;20.57
21.28;20.99
21.02;21.73
21.15;21.14
21.62;21.24
21.61;21.45
21.36;22.16
21.5;22.25
21.96;22.21
22.44;22.26
22.56;22.09
22.61;22.43
22.61;22.43
22.81;22.22
23.07;22.34
22.6;22.19
22.55;21.47
22.67;20.8
21.9;20.97
21.51;21.0
21.36;20.83
21.25;20.06
21.19;20.26
20.78;20.28
20.47;20.85
20.44;20.75
20.96;20.95
20.75;20.66
20.94;20.76
21.02;20.22
21.02;20.44
20.85;19.95
20.61;19.69
20.47;19.95
20.13;19.84
20.29;20.1
20.02;20.46
20.14;21.32
20.62;21.95
21.42;21.7
21.82;22.46
22.16;22.31
22.66;22.47
22.54;23.73
22.4;23.54
23.3;23.42
23.6;23.35
23.74;22.92
23.68;23.22
23.41;22.24
23.18;22.6
22.91;22.7
22.88;22.38
23.01;22.46
23.04;23.63
22.65;23.41
23.34;22.93
23.46;23.22
23.59;23.25
23.49;22.9
23.34;22.22
23.45;22.31
22.89;22.56
22.34;22.92
22.68;23.72
23.01;23.73
23.74;23.79
23.72;23.91
23.6;23.92
24.08;23.77
24.09;23.06
23.9;22.74
23.46;22.49
23.0;22.53
22.89;22.93
22.7;23.27
22.86;23.86
23.45;25.11
23.91;25.16
24.87;24.86
24.97;25.05
25.03;25.12
25.11;25.2
25.22;25.18
25.13;24.79
25.19;25.13
24.84;24.86
25.22;24.77
25.25;24.46
25.04;25.0
24.79;24.74
25.28;24.31
25.08;24.23
